Date,All_Causes,Diabetes,Ozone,Temperature
2014-05-23,1221,14,62.406431388888876,11.633333333333335
2014-05-24,1172,13,49.14342291666668,12.200000000000001
2014-05-25,1213,14,57.567237638888884,12.433333333333335
2014-05-26,1204,16,61.55730944444445,12.766666666666667
2014-05-27,1191,12,58.19077333333332,14.233333333333334
2014-05-28,1171,9,41.88451916666666,12.933333333333335
2014-05-29,1228,22,38.08105013888889,12.200000000000001
2014-05-30,1224,13,56.83739833333333,12.66666666666667
2014-05-31,1176,15,50.98806361111111,13.200000000000001
2014-01-06,1149,14,57.554447210339724,14.366666666666667
2014-02-06,1266,18,51.94034777777777,15.633333333333335
2014-03-06,1237,13,46.17553766192992,14.4
2014-04-06,1208,10,40.56648888888889,13.700000000000001
2014-05-06,1179,10,60.61634874999999,12.733333333333334
2014-06-06,1261,7,54.95015472222223,13.066666666666668
2014-07-06,1320,12,39.893009166666666,15.933333333333335
2014-08-06,1223,12,41.45517977391426,14.933333333333335
2014-09-06,1302,18,45.79807263888889,16.833333333333332
2014-10-06,1239,15,38.50867416666667,15.933333333333335
2014-11-06,1214,18,32.129786805555554,15.366666666666667
2014-12-06,1187,20,26.855047361111115,15.333333333333334
2014-06-13,1268,22,46.38615791666666,16.333333333333332
2014-06-14,1266,13,46.10375916666667,17.033333333333335
2014-06-15,1141,11,44.688308750000004,16.033333333333335
2014-06-16,1145,12,48.55456430555555,14.9
2014-06-17,1168,11,43.47473,15.866666666666667
2014-06-18,1191,9,29.981603055555553,16.900000000000002
2014-06-19,1189,17,34.29348513888888,17.433333333333337
2014-06-20,1205,16,37.91357513888888,14.866666666666667
2014-06-21,1182,21,47.00909736111111,15.9
2014-06-22,1210,13,45.77543236111111,16.76666666666667
2014-06-23,1259,11,43.47049138888889,15.9
2014-06-24,1217,13,37.452450555555565,18.066666666666666
2014-06-25,1145,10,49.99930791666666,14.633333333333333
2014-06-26,1179,14,50.61152125000001,15.433333333333335
